WKT,radio,mcc,net,area,cell,unit,longitude,latitude,range,samples,changeable,created,updated,averageSig,shape_X,shape_Y
POINT (-66.0601043698207 17.9756927497207),UMTS,330,110,41004,1196451,,-66.06010437,17.97569275,1000,1,1,1458850074,1433963764,,-66.06010437,17.97569275
POINT (-66.0230255098194 17.9839325001848),UMTS,330,110,41004,1196379,,-66.02302551,17.9839325,1000,1,1,1458850074,1453499918,,-66.02302551,17.9839325
POINT (-66.056899999935 17.9830170002344),UMTS,330,110,41004,1180321,,-66.0569,17.983017,1000,3,1,1458850074,1489353170,,-66.0569,17.983017
POINT (-66.2290191697988 18.0512237497763),UMTS,330,110,41004,1198481,,-66.22901917,18.05122375,1000,4,1,1458850074,1489353170,,-66.22901917,18.05122375
POINT (-66.0546112100393 17.9798126195568),UMTS,330,110,41004,1196552,,-66.05461121,17.97981262,1000,1,1,1458850074,1457548606,,-66.05461121,17.97981262
POINT (-66.4844509998138 18.034057999577),UMTS,330,110,41004,1203454,,-66.484451,18.034058,1000,2,1,1458850075,1465853417,,-66.484451,18.034058
POINT (-66.4075470002938 18.0230710001266),UMTS,330,110,41004,1202349,,-66.407547,18.023071,1000,2,1,1458850075,1465853417,,-66.407547,18.023071
POINT (-66.4322662399949 18.0319976797492),UMTS,330,110,41004,1202249,,-66.43226624,18.03199768,1000,2,1,1458850075,1479576589,,-66.43226624,18.03199768
POINT (-66.3993072498297 18.0525970496142),UMTS,330,110,41004,1202053,,-66.39930725,18.05259705,1000,1,1,1458850074,1448457077,,-66.39930725,18.05259705
POINT (-66.252365109662 18.007278440048),UMTS,330,110,41004,1202852,,-66.25236511,18.00727844,1000,1,1,1458850075,1450210286,,-66.25236511,18.00727844
POINT (-66.190567019852 18.0951690702964),UMTS,330,110,41004,1228649,,-66.19056702,18.09516907,1000,1,1,1458850075,1436546393,,-66.19056702,18.09516907
POINT (-66.4871979996879 18.0361180001456),UMTS,330,110,41004,1203481,,-66.487198,18.036118,1000,2,1,1458850075,1465853417,,-66.487198,18.036118
POINT (-66.345748899692 18.0100250199388),UMTS,330,110,41004,1202479,,-66.3457489,18.01002502,1000,2,1,1458850075,1483270632,,-66.3457489,18.01002502
POINT (-66.0962679996684 18.4165190002517),UMTS,330,110,41005,1313421,,-66.096268,18.416519,1000,3,1,1458850076,1486693309,,-66.096268,18.416519
POINT (-66.0697174102303 18.4563446002232),UMTS,330,110,41005,1315221,,-66.06971741,18.4563446,1000,1,1,1458850076,1452864909,,-66.06971741,18.4563446
POINT (-66.0903167702027 18.4618377698972),UMTS,330,110,41005,1315622,,-66.09031677,18.46183777,1000,1,1,1458850076,1452864965,,-66.09031677,18.46183777
